reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
CYOR_u10m,6.5238982626996,6.68506123519246,1.0247034772774293,Unchanged,2.0 Ferricytochrome c + 2.0 proton + Ubiquinol-10 --> 2.0 Ferrocytochrome C + 4.0 proton + ubiquinone-10,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
CYSGLUexR,0.0,-0.0037173539148796,1000.0,On,L-Cysteine + L-glutamine <==> L-cysteine + L-Glutamine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CYStec,0.0,-0.0151485093497387,1000.0,On,L-Cysteine <==> L-cysteine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CYTDK1,0.0052128560644891,0.0058583104342397,1.1238197183589145,Unchanged,ATP + Cytidine --> ADP + CMP + proton,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTDe,0.0106478982713265,0.0119663180363967,1.1238197183589314,Unchanged,Cytidine + Water + proton --> Ammonium + Uridine,['Pyrimidine Catabolism'],Pyrimidine Catabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTDt,-0.0106478982713265,-0.0119663180363967,1.1238197183589314,Unchanged,Cytidine <==> Cytidine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CYTK1,0.0011956396227914,0.0013436833841442,1.123819718358923,Unchanged,ATP + CMP <==> ADP + CDP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
CYTK12,-0.0005978198113957,-0.0006718416920721,1.123819718358923,Unchanged,dCMP + dCTP <==> 2.0 dCDP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
CYTK1m,0.000348313564309,0.0003914416517423,1.1238197183588283,Unchanged,ATP + CMP <==> ADP + CDP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Pyrimidine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,['Nucleotide metabolism'],Nucleotide metabolism
ECOAH12m,0.0259282628238054,0.0229477071062386,0.8850460696954107,Unchanged,2-Methylprop-2-enoyl-CoA + Water <==> (S)-3-Hydroxyisobutyryl-CoA,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ECOAH1m,-0.0063728468602393,-0.0296650588796081,4.6549147547685115,Increased,(S)-3-hydroxybutanoyl-CoA(4-) <==> crotonoyl-CoA(4-) + Water,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Lysine Degradation', 'Tryptophan Metabolism']",Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,"['AA other', 'Lipid metabolism', 'AAA metabolism (Trp/Phe/Tyr)']",AA other; Lipid metabolism; AAA metabolism (Trp/Phe/Tyr)
ECOAH9m,0.0375168209719689,0.0359711572605039,0.9588007813183356,Unchanged,"2-methylcrotonoyl-CoA(4-) + Water <==> (2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)","['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ENO,9.960421366634884,9.938132095661592,0.9977622160596582,Unchanged,D-Glycerate 2-phosphate <==> Water + Phosphoenolpyruvate,"['Biosynthesis Of Amino Acids', 'Glycolysis/Gluconeogenesis', 'Methane Metabolism']",Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Methane Metabolism,"['AA other', 'Central Energy Metabolism', 'Methane Metabolism']",AA other; Central Energy Metabolism; Methane Metabolism
EX_C02470_e,0.0093048059069925,0.0104569243537093,1.123819718351244,Unchanged,Xanthurenic acid -->,['Unknown'],Unknown,['Unknown'],Unknown
EX_acac_e,0.0,0.0225031279159892,1000.0,On,Acetoacetate -->,['Unknown'],Unknown,['Unknown'],Unknown
EX_arg__L_e,-0.0138314131647102,-0.0155440148472707,1.1238197183589362,Unchanged,L-Arginine <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_asn__L_e,-0.0118078772196767,-0.013269925251434,1.123819718358939,Unchanged,L-Asparagine <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_cgly_e,0.0,0.0241889499434889,1000.0,On,L-cysteinylglycine -->,['Unknown'],Unknown,['Unknown'],Unknown
EX_chol_e,-0.0035921317244387,-0.0040369084628668,1.1238197183589085,Unchanged,Choline <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_chsterol_e,-0.0004833976207801,-0.0005432517780405,1.1238197183589944,Unchanged,Chsterol c <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_co2_e,0.4686965213700483,0.5134777219988329,1.0955441284221281,Unchanged,carbon dioxide -->,['Unknown'],Unknown,['Unknown'],Unknown
EX_cys__L_e,0.0,0.0188658632646183,1000.0,On,L-Cysteine <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_glc__D_e,-5.0,-4.991305672131468,0.9982611344262937,Unchanged,D-glucose <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_gln__L_e,-0.4991829570199727,-0.5,1.001636760567518,Unchanged,L-Glutamine <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_glu__L_e,-0.05,-0.05,1.0,Unchanged,L-glutamate(1-) <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_gly_e,-0.0167872684172182,0.0,2000.0,Off,Glycine <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_gthrd_e,-0.0061799830332533,-0.05,8.090637098995193,Increased,Reduced glutathione <==>,['Unknown'],Unknown,['Unknown'],Unknown
EX_h2o2_e,0.065238982626996,0.0668506123519246,1.0247034772774295,Unchanged,Hydrogen peroxide -->,['Unknown'],Unknown,['Unknown'],Unknown
EX_h_e,10.624828055621704,10.488117390864076,0.9871329056769731,Unchanged,proton <==>,['Unknown'],Unknown,['Unknown'],Unknown
