genes	slow-breast	slow-breast.1	slow-breast.2	slow-breast.3	slow-breast.4	slow-breast.5	slow-breast.6	slow-breast.7	slow-breast.8	slow-breast.9	slow-breast.10	slow-breast.11
EHMT1	20.4003096585074	23.70264904467	19.7650368264984	29.0666329590955	27.9845949876639	16.7126718963927	29.5159509557765	21.7886241185629	29.9330871357182	29.6899307378909	23.6000898750182	19.1004195157036
KCMF1	133.438091044991	214.836776447434	78.756069816355	110.960717883531	71.3999479591799	130.847992164441	167.675721387071	111.796392798817	148.90954963981	155.686574306815	81.0611782663669	115.735592828204
CCT5	172.900985138497	163.144829062781	139.267490254404	174.399797754573	229.107525319566	222.156248378879	150.719749561412	185.462693390149	212.857508520663	245.869738923159	105.687359005516	209.295274862753
TSSC1	2.34101914114019	3.53018177261042	3.3448523860228	2.07618806850682	2.09230616730197	4.89151372577349	5.33799113030001	2.59388382363845	3.02354415512305	2.41230687245363	9.23481777718104	2.7517553539573
TIPIN	15.718271376227	21.9375581583647	20.6772692954137	19.8391304323985	23.5384443821472	22.0118117659807	30.4579493905353	18.9353519125607	26.0024797340582	30.2466169392263	22.573999010887	23.6327224516333
CRIP2	22.0724661878932	24.2069607264714	48.6523983421498	33.9110717856114	26.6769036331002	34.6482222242289	20.4099660864412	25.4200614716568	24.0371760332283	14.6594033018336	30.7827259239368	29.1362331595479
LOC121110522	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT3	15.3838400703498	15.3815062949454	13.0753320544528	12.2264408478735	13.3384518165501	9.37540130773251	14.7579754778883	19.1947402949245	18.5947965540068	7.05135855024909	11.2869995054435	11.1688893778267
LOC124417481	0	0.252155840900744	0	0	0	0	0	0	0	0	0	0.323735923994977
NR0B2	0.66886261175434	0	0.912232468915309	0.230687563167425	0	0.407626143814457	0	0.518776764727689	0.302354415512305	0.185562067111818	2.05218172826245	0
ETV4	0.66886261175434	0	1.21630995855375	0.692062689502274	0.784614812738241	0	0.627998956505883	0.778165147091534	1.05824045429307	0	0	0.485603885992466
MYOF	1.67215652938585	4.28664929531265	13.3794095440912	3.22962588434395	4.96922714734219	2.03813071907229	1.56999739126471	1.55633029418307	0.151177207756153	1.85562067111818	4.10436345652491	0.647471847989954
ARMC7	15.0494087644727	20.9289347947618	8.81824719951465	12.2264408478735	16.4769110675031	9.37540130773251	7.84998695632354	9.33798176509841	8.76827804985685	8.90697922136727	5.13045432065613	10.1976816058418
MFSD13A	4.34760697640321	5.54742849981637	5.16931732385342	3.22962588434395	3.66153579277846	4.48388758195903	4.08199321728824	2.59388382363845	5.44237947922149	2.78343100667727	6.15654518478736	3.39922720194726
COL1A2	339.447775465328	115.23521929164	3211.9705230508	2257.27780559325	665.353361202028	925.311346458818	234.557610254947	369.628444868479	125.477082437607	144.738412347218	854.733689821312	218.845484620605
LOC772071	98.322803927888	107.922699905519	68.4174351686482	97.1194640934858	94.1537775285889	126.364104582482	96.3978398236531	98.567585298261	124.721196398826	139.913798602311	89.2699051794167	118.811084106157
LOC769660	0.33443130587717	0.252155840900744	1.21630995855375	2.07618806850682	0.523076541825494	0.407626143814457	0	0.518776764727689	0.60470883102461	2.22674480534182	0	0.809339809987443
EIF1AX	149.825225032972	162.892673221881	151.126512350303	139.796663279459	157.969115631299	153.67505621805	172.071714082612	163.674069271586	180.959117684115	211.355194440361	126.209176288141	179.83530577921
CTDSPL	254.167792466649	162.136205699179	178.493486417762	279.362638995751	131.553750269112	326.100915051566	319.965468339747	249.791012216382	660.49322068663	424.009323350504	384.78407404921	356.43325231847
ACTR3B	150.159656338849	119.017556905151	80.8846122438241	121.110970662898	216.815226586667	156.528439224752	120.889799127383	123.728258387554	139.234208343416	108.18268512619	153.913629619684	108.28966657632
