genes	fast-liver	fast-liver.1	fast-liver.2	fast-liver.3	fast-liver.4	fast-liver.5	fast-liver.6	fast-liver.7	fast-liver.8	fast-liver.9	fast-liver.10	fast-liver.11
HGSNAT	3.15113588661373	12.3240404010599	12.5666095218824	5.68383136513548	11.6596432062179	6.45965027213221	6.9892837704583	1.76374017416806	3.66951019528962	14.2865108844923	5.510767422023	10.6669099847754
LOC121113123	4.05146042564623	2.52082644567134	1.53876851288355	13.6411952763251	1.41329008560216	8.24162276099627	5.99081466039283	18.1413275057286	8.31755644265647	1.90486811793231	7.01370399166564	6.00013686643618
PPARGC1A	46.3667137601735	35.2915702393987	47.4453624805763	20.4617929144877	77.3776321867185	49.8952296881936	87.5324586490729	46.3611702924176	40.8538801742244	52.7013512627938	36.0704776714233	40.0009124429078
HARS2	11.7042190074224	12.043948573763	12.0536866842545	5.68383136513548	9.18638555641406	4.90042434437616	7.65492984383528	5.54318340452819	3.66951019528962	13.3340768255261	6.01174627857055	4.88900040968874
COMMD4	27.4598984404911	50.1364370861299	60.0119720024586	52.85963169576	61.4781187236941	22.7201492330167	21.3006743480634	34.5189148372892	30.5792516274135	60.6383017541784	38.0743930976135	33.5563209937727
LOC107052949	0	0	0.256461418813926	0	0	4.00943809994413	0	0	0	0	0	0
COA5	19.8071398587149	47.6156106404586	54.6262822073662	28.4191568256774	49.8184755174763	18.7107111330726	15.9755057610475	21.6688078540648	24.2187672889115	55.2411754200369	24.0469851142822	15.5559103944642
CORO1B	11.2540567379062	12.3240404010599	16.9264536417191	18.7566435049471	13.07293329182	11.5828211776164	28.6227811552102	13.1020698652485	10.5192625598302	14.2865108844923	10.5205559874985	16.2225922685126
MUL1L	11.2540567379062	16.5254178105121	16.6699922229052	17.0514940954064	15.5461909416238	18.7107111330726	22.9647895315058	13.8579585113205	9.2960924947337	22.2234613758769	13.0254502702362	13.3336374809693
SLC22A5	49.9680119163035	87.1085582893095	82.0676540204563	58.5434630608954	63.2447313306968	70.1651667490223	51.9203937234045	67.5260523824344	19.3260870285253	75.2422906583261	47.5929913720168	72.8905515626321
PDPR	139.10014128052	52.0970798772076	46.9324396429484	94.9199837977625	62.1847637664952	86.2029191487988	92.5248041994003	51.4004279328978	68.9867916714448	47.3042249286523	87.1703210392729	73.1127788539816
PTPN5	1.80064907806499	1.40045913648408	4.35984411983674	1.70514940954064	0.706645042801082	0.890986244432029	1.66411518344245	1.76374017416806	6.1158503254827	0.317478019655384	1.00195771309509	1.33336374809693
PLA2R1	197.621236317633	90.7497520441681	92.5825721918272	84.6890873405186	67.1312790661028	51.2317090548417	68.2287225211405	65.5103493262423	181.029169634288	84.7666312479876	116.728073575578	97.7800081937747
SPATA17	3.15113588661373	0	0	0.568383136513548	0.706645042801082	3.56394497772812	0.33282303668849	0.755888646072026	1.71243809113516	0	0	1.7778183307959
SV2C	2.70097361709748	1.68055096378089	0.512922837627852	0.568383136513548	0.706645042801082	9.80084868875232	0.998469110065471	1.00785152809604	2.44634013019308	0.634956039310769	2.50489428273773	0.888909165397952
CYB561D2	0	0.56018365459363	0.512922837627852	0.568383136513548	0.353322521400541	0.668239683324022	2.32976125681943	0.503925764048018	0.733902039057924	1.26991207862154	3.50685199583282	2.22227291349488
HIST1H2B7L4	31.0611965966211	149.569035776499	136.693936227822	80.7104053849238	96.1037258209471	23.8338820385568	14.6442136142936	37.7944323036013	72.9009358797537	113.657131036628	45.0880970892791	38.6675486948109
LOC100857335	36.0129815612998	30.8101010026497	40.2644427537864	44.3338846480567	25.0858990194384	62.146290549134	58.9096774938628	31.4953602530011	46.4804624736685	36.8274502800246	37.0724353845184	59.5569140816628
PPP1R12B	10.8038944683899	10.643489437279	4.61630553865067	11.9360458667845	5.65316034240865	7.12788995545623	14.3113905776051	18.3932903877526	21.2831591326798	7.61947247172922	14.0274079833313	9.11131894532901
CAMK2D	7.65275858177621	9.2430303007949	7.9503039832317	3.97868195559484	6.71312790661028	4.23218466105214	5.65799162370433	8.81870087084031	11.4977986119075	5.07964831448615	3.00587313928527	6.22236415778567
CDH3	0.450162269516247	4.76156106404586	2.56461418813926	0.568383136513548	1.05996756420162	0.445493122216015	0.665646073376981	1.76374017416806	0.489268026038616	4.12721425552	2.00391542619018	1.55559103944642
FOXN2	4.50162269516247	14.0045913648408	16.1570693852773	3.97868195559484	19.0794161556292	5.34591746659217	5.99081466039283	6.29907205060022	5.62658229944408	13.6515548451815	7.01370399166564	7.77795519723208
MAPKAPK5	0.900324539032495	0	0	0.568383136513548	0	0.222746561108007	0.665646073376981	0	0.489268026038616	0	0.500978856547546	1.55559103944642
DHX36	147.203062131813	73.6641505790624	57.1908963955055	161.420810769848	62.1847637664952	141.221319742477	178.725970701719	67.7780152644584	138.952119394967	95.5608839162707	137.769185550575	213.115972404159
STK38L	19.8071398587149	10.3633976099822	6.15507405153422	13.6411952763251	8.12641799221244	17.3742317664246	15.642682724359	19.9050676798967	22.9955972238149	11.7466867272492	22.043069688092	23.3338655916962
GABRR2	0	0	0.256461418813926	0	0.353322521400541	0.222746561108007	0.998469110065471	0.251962882024009	6.360484338502	0	0	0.666681874048464
LARP1	116.141865535192	252.082644567134	248.767576249508	127.886205715548	294.670982848051	203.590356852719	137.123091115658	95.4939322870993	73.6348379188117	262.871800274658	149.792678107716	173.115059961251
LOC418298	52.668985533401	64.4211202782675	32.3141387705546	40.3552026924619	30.032414319046	27.8433201385009	22.6319664948173	20.1570305619207	58.2228950985953	17.7787691007015	59.1155050726104	88.8909165397952
POLR1E	37.3634683698485	34.4512947575083	28.2107560695318	32.9662219177858	40.6320899610622	23.6111354774488	34.9464188522915	27.715917022641	24.9526693279694	40.3197084962338	39.5773296672561	28.667320584084
LOC121107269	1.80064907806499	0.280091827296815	0.512922837627852	0	0	2.67295873329609	0.998469110065471	0.755888646072026	1.71243809113516	0.317478019655384	1.50293656964264	2.44450020484437
BTK	10.3537321988737	6.16202020052993	12.8230709406963	2.84191568256774	4.59319277820703	1.11373280554004	10.3175141373432	3.77944323036013	7.58365440359854	4.76217029483077	6.51272513511809	6.22236415778567
PTPN2	91.8331029813145	63.8609366236738	79.503039832317	202.912779735337	165.354940015453	93.553555665363	92.1919811627118	102.296930101748	138.952119394967	70.1626423438399	119.232967858316	129.558510856752
RBM18	8.5530831208087	22.687438011042	27.1849103942761	8.52574704770322	20.8460287626319	6.2369037110242	7.32210680714679	11.8422554551284	4.64804624736685	19.6836372186338	6.01174627857055	8.66686436263003
PAK2	12.6045435464549	21.5670707018548	26.9284489754622	16.4831109588929	16.6061585058254	10.2463418109683	17.9724439811785	4.78729475845617	8.56219045567578	17.7787691007015	8.51664056130828	13.5558647723188
LOC121110323	0.450162269516247	0.280091827296815	0	3.97868195559484	0	0	0.998469110065471	6.04710916857621	0	0	0	0
GALNTL6	0.450162269516247	0	0	0.568383136513548	0	15.1467661553445	0.33282303668849	1.51177729214405	1.71243809113516	0	0.500978856547546	1.11113645674744
