genes	fast-leg	fast-leg.1	fast-leg.2	fast-leg.3	fast-leg.4	fast-leg.5	fast-leg.6	fast-leg.7	fast-leg.8	fast-leg.9	fast-leg.10	fast-leg.11
LOC121110620	1.30596078827661	0	0.37109290889267	0.522904467266704	0.694283049501222	0.812428835434774	2.60311411654465	1.24761102890624	0.64336396056989	0	0	0.445006050042802
VMP1	17.6304706417343	18.5890151091934	29.6874327114136	21.7005353915682	23.3741959998745	36.0176783709416	16.9202417575402	33.6854977804684	34.7416538707741	24.5704490083751	17.9631388915076	19.5802662018833
COQ4	280.128589085333	275.260416039979	135.077818836932	157.132792413645	114.556703167702	155.986336403477	167.90086051713	142.851462809764	126.421018251983	195.179341418642	174.416284075606	254.09845457444
ZNF362	16.977490247596	17.874052989609	26.3475965313796	36.0804082414026	21.0599191682037	26.8101515693475	13.0155705827233	15.2832351041014	23.161102580516	21.455885049567	19.1220510780564	11.12515125107
CNTNAP4	1.30596078827661	2.14488635875308	0.74218581778534	0.522904467266704	1.38856609900244	2.16647689449273	0.650778529136163	0.935708271679677	0.64336396056989	2.07637597253874	1.15891218654887	2.22503025021401
CHD4	16.3245098534577	27.1685605442057	14.8437163557068	16.2100384852678	29.6227434453855	25.4561035102896	33.1897049859443	33.0616922660153	9.00709544797846	26.3007623188241	23.7576998242519	16.9102299016265
ISCA2	291.882236179823	303.143938703769	214.120608431071	212.037761476648	265.910407958968	275.6841848242	313.67525104363	378.961850030269	251.233626602542	391.396870823553	217.875491071188	252.318430374269
ANGEL2	1.95894118241492	5.71969695667489	9.27732272231675	9.41228041080067	12.0342395246878	4.06214417717387	5.85700676222546	3.74283308671871	6.11195762541396	5.19093993134685	4.6356487461955	2.67003630025681
GBP4L	1.95894118241492	2.85984847833745	4.82420781560471	3.13742680360022	1.61999378216952	0.812428835434774	0	2.49522205781247	0.64336396056989	0.69212532417958	1.15891218654887	1.33501815012841
AK8	0.652980394138307	0	0.37109290889267	0.522904467266704	0.925710732668296	1.08323844724636	0	0.623805514453118	0	0	0.579456093274437	2.67003630025681
OLFM2	9.7947059120746	10.0094696741811	34.1405476181256	26.1452233633352	31.0113095443879	10.0199556370289	11.7140135244509	9.66898547402333	27.3429683242203	9.34369187642434	12.7480340520376	20.9152843520117
LOC121107716	0	0	3.33983618003403	0	1.15713841583537	1.89566728268114	0	0.935708271679677	0	1.03818798626937	0	0.445006050042802
MHCY15	37.8728628600218	37.1780302183868	80.8982541386021	59.0882048011375	129.830930256729	44.9543955607241	37.7451546898974	46.4735108267573	46.3222051610321	58.1385272310848	26.6549802906241	43.1655868541518
SPRYD3	333.020001010536	406.813446043502	92.7732272231675	207.070169037615	84.471104355982	199.04506468152	222.566256964568	158.134697913865	132.211293897112	226.324981006723	290.307502730493	300.379083778891
NT5E	27.4251765538089	34.3181817400494	10.0195085401021	29.8055546342021	30.0855988117196	14.0820998142027	17.5710202866764	20.5855819769529	13.5106431719677	37.7208301677871	24.3371559175264	28.0353811526965
ASB13	5.87682354724476	5.71969695667489	7.79295108674607	17.7787518870679	6.248547445511	10.0199556370289	5.2062282330893	2.80712481503903	6.75532158598385	2.42243863462853	5.21510483946994	4.45006050042802
CHSY1	0	0	0	0	0.925710732668296	0.812428835434774	0	0	0	1.38425064835916	0	0
LOC121113331	13.7125882769044	5.00473483709053	12.6171589023508	20.3932742234015	13.8856609900244	8.93671718978251	17.5710202866764	4.99044411562495	4.82522970427418	11.0740051868733	30.1317168502707	9.34512705089884
USP40	4.57086275896815	5.71969695667489	10.0195085401021	5.49049690630039	5.09140902967563	4.33295378898546	8.46012087877011	6.8618606589843	4.50354772398923	6.9212532417958	2.31782437309775	6.23008470059923
AIMP2	34.6079608893302	39.3229165771399	41.562405795979	49.1530199230702	37.491284673066	24.1020554512316	26.6819196945827	63.0043569597649	41.4969754567579	47.0645220442115	34.7673655964662	33.3754537532101
CHRND	73.7867845376286	44.3276514142304	24.8632248958089	109.025581425108	45.8226812670807	34.1220110882605	41.6498258647144	71.1138286476555	88.4625445783599	48.7948353546604	66.6374507265603	27.1453690526109
ZFAND1	3.91788236482984	2.14488635875308	2.96874327114136	4.18323573813363	1.38856609900244	2.43728650630432	0	1.5595137861328	4.50354772398923	3.4606266208979	2.31782437309775	4.00505445038522
