genes	fast-breast	fast-breast.1	fast-breast.2	fast-breast.3	fast-breast.4	fast-breast.5	fast-breast.6	fast-breast.7	fast-breast.8	fast-breast.9	fast-breast.10	fast-breast.11
ATP5S	3.12581899981195	16.5062651313571	10.3587920599143	10.8553435099518	12.100636474869	4.75473615685335	9.06553006651964	4.6675987365544	5.19147682824221	11.4615517931737	7.86650926975438	8.18366495925284
ZBTB38	3.12581899981195	7.3361178361587	6.04262870161669	1.86091603027746	7.13627279287148	4.27926254116801	2.64411293606823	4.20083886289896	4.58071484844901	2.45604681282293	3.49622634211306	2.58431525029037
LOC121106914	13.1284397992102	21.3970103554629	33.6660741947216	14.5771755705067	19.5471819978654	22.8227335528961	10.5764517442729	17.7368751989067	7.63452474741502	7.36814043846879	10.1973268311631	9.90654179277976
FGF1	24.3813881985332	134.189822086403	106.177618614122	36.2878625904104	83.4633644035839	26.3887856705361	40.7948852993384	5.13435861020984	18.0174784038994	84.1196033391854	32.922798054898	43.9333592549363
CRACD	2.50065519984956	0.611343153013225	0.287744223886509	0.930458015138728	0.310272730124847	0.95094723137067	2.26638251662991	1.86703949462176	0.305380989896601	0.818682270940977	0.874056585528265	1.72287683352691
C2orf69	0.625163799962391	9.78149044821161	6.04262870161669	13.9568702270809	13.9622728556181	1.90189446274134	3.39957377494486	3.26731911558808	5.49685781813881	6.54945816752782	5.53569170834568	2.15359604190864
TSC2	50.0131039969913	32.7068586862076	27.0479570453318	27.9137404541618	22.339636568989	36.6114684077708	17.3755992941626	29.4058720402927	21.6820502826586	23.9464564250236	27.3871063465523	39.1954479627373
PUF60	14.378767399135	40.0429765223663	50.3552391801391	30.705114499578	55.5388186923476	25.9133120548508	43.0612678159683	32.6731911558808	37.5618617572819	59.9684763464266	52.4433951316959	36.1804135040652
ISCU	433.238513373937	252.179050617955	317.094134722933	347.991297661884	286.692002635359	424.835675614847	251.56845934592	383.209856271116	372.259426683956	323.788838157157	359.819961042469	491.881335971934
FKBP8	66.8925265959758	71.832820479054	73.3747770910598	60.7899236557302	87.186637165082	94.1437759056963	74.0351622099104	85.8838167526009	57.7170070904575	76.3421217652461	58.8531434255698	46.9483937136084
TCTN2	5.62647419966152	3.05671576506613	2.01420956720556	0.930458015138728	3.41300003137332	1.18868403921334	1.51092167775327	2.3337993682772	3.35919088886261	1.22802340641147	2.62216975658479	4.30719208381729
SLC33A1	5.00131039969913	4.27940207109258	2.87744223886509	4.03198473226782	4.34381822174786	2.37736807842667	2.26638251662991	1.40027962096632	2.4430479191728	2.66071738055818	0.874056585528265	3.87647287543556
YBX3	526.387919568333	655.665531606684	447.154523919635	839.893434998559	784.679734485738	655.915852837919	455.165155423173	604.454036383794	403.408287653409	186.864228342278	205.111945403966	368.264923166378
KRT8	4.37614659973674	0.917014729519838	0.287744223886509	1.55076335856455	0.930818190374541	2.61510488626934	3.02184335550655	3.73407898924352	2.74842890906941	1.43269397414671	1.16540878070435	1.72287683352691
FRRS1	11.8781121992854	16.2005935548505	13.8117227465524	4.96244274740655	15.8239092363672	8.32078827449336	13.5982950997795	8.40167772579791	14.9636685049334	15.5549631478786	13.6935531732761	12.4908570430701
PLAA	115.655302993042	73.9725215146003	85.1722902704067	61.4102289991561	116.972819257067	130.517507505624	97.0767177956478	142.361761464909	98.9434407264986	94.7624728614181	66.136948304972	73.6529846332756
BLEC2	0	0	0.863232671659527	0	0	0	0	0	0.305380989896601	3.47939965149915	0.582704390352177	1.29215762514519
AHI1	0	1.83402945903968	4.31616335829763	1.86091603027746	2.79245457112362	0.237736807842667	1.13319125831495	0.933519747310879	0.305380989896601	2.45604681282293	0.582704390352177	0.430719208381729
TDO2	0	0.611343153013225	0.287744223886509	1.24061068685164	1.24109092049939	0.475473615685335	1.13319125831495	1.40027962096632	1.2215239595864	0.204670567735244	0	0.430719208381729
PFDN5	116.280466793005	276.327105161978	307.310831110792	148.563129750484	228.050456641763	119.581614344862	268.566328220644	150.296679317052	244.610172907177	301.070405138544	432.366657641315	385.062972293265
GIN1	0	0.611343153013225	0.575488447773018	0	0.310272730124847	0.475473615685335	0.377730419438318	0	0.305380989896601	0.614011703205733	0.874056585528265	0.430719208381729
UNCX	0	0.305671576506613	0	0	0.310272730124847	0	0.377730419438318	0	1.2215239595864	0.204670567735244	0	0.430719208381729
HSPB7L	106.277845993606	20.7856672024497	7.76909404493574	26.3629770955973	25.1320911401126	70.3700951214296	89.1443789874431	106.42125119344	88.8658680599108	19.6483745025835	25.9303453706719	77.0987383003294
LOC121108714	18.1297501989093	32.4011871097009	56.6856121056423	47.4533587720751	52.746364121224	26.1510488626934	20.3974426496692	40.6081090080232	20.1551453331756	49.5302773919291	23.016823418911	26.7045909196672
DKK2	0	0.305671576506613	0.287744223886509	0.620305343425819	0.930818190374541	1.426420847056	0	1.40027962096632	0	0.204670567735244	0.582704390352177	1.29215762514519
MRPL39	6.8768017995863	10.6985051777314	12.6607458510064	9.61473282310019	9.92872736399511	6.65663061959469	9.06553006651964	6.53463823117615	8.85604870700142	18.420351096172	20.6860058575023	4.73791129219901
LOC112530924	1.25032759992478	0	0	0.310152671712909	0	0.95094723137067	0	0	0	0.204670567735244	0	0.861438416763457
TRMT2B	17.5045863989469	17.7289514373835	23.3072821348072	38.1487786206878	29.4759093618605	10.9358931607627	17.3755992941626	21.0041943144948	25.6520031513145	25.5838209669055	24.4735843947914	24.9817140861403
LOC121108803	0	0	0	0	0	0.713210423528002	0	0.46675987365544	1.526904949483	0	0	1.29215762514519
CDKN1A	16.8794225989846	33.6238734157274	94.3801054347749	124.991526700302	22.339636568989	31.1435218273894	51.3713370436113	65.3463823117615	26.8735271109009	167.42052440743	45.1595902522937	35.7496942956835
ZNF532	16.8794225989846	13.7552209427976	12.0852574032334	15.8177862573584	11.4800910146193	15.2151557019307	6.79914754988973	12.1357567150414	10.0775726665878	9.61951668355648	13.4022009781001	11.1986994179249
LOC112532396	0	0	0	0.930458015138728	0	0	0	6.06787835752071	0.305380989896601	0	10.4886790263392	0.430719208381729
SAMM50	40.010483197593	65.4137173724151	94.0923612108884	85.602137392763	120.385819288441	54.2039921881282	69.8801275960889	54.6109052176864	50.3878633329391	97.6278608097115	59.7272000110981	37.9032903375921
GSTO2	6.25163799962391	5.50208837711903	12.0852574032334	3.411679388842	5.2746364121224	1.426420847056	2.64411293606823	9.33519747310879	13.4367635554504	4.50275249017538	3.20487414693697	6.46078812572593
SUGCT	1.25032759992478	2.13970103554629	1.43872111943254	6.5132061059711	4.34381822174786	2.85284169411201	2.26638251662991	4.20083886289896	3.05380989896601	4.09341135470489	1.45676097588044	1.72287683352691
MFSD4A	0	0.305671576506613	0.287744223886509	0.310152671712909	0.620545460249694	0.237736807842667	0	0.933519747310879	0.305380989896601	0.204670567735244	0.291352195176088	0.430719208381729
LOC416147	6.8768017995863	3.97373049458597	1.72646534331905	3.72183206055491	1.24109092049939	2.85284169411201	1.88865209719159	1.40027962096632	3.35919088886261	1.8420351096172	4.07893073246524	4.73791129219901
PIP5K1B	5.00131039969913	3.36238734157274	3.74067491052462	3.10152671712909	4.03354549162301	11.8868403921334	4.53276503325982	4.6675987365544	6.10761979793201	3.07005851602866	6.11839609869785	9.0451033760163
