genes	slow-brain	slow-brain.1	slow-brain.2	slow-brain.3	slow-brain.4	slow-brain.5	slow-brain.6	slow-brain.7	slow-brain.8	slow-brain.9	slow-brain.10	slow-brain.11
AMOT	78.5158468973744	80.6650013062648	72.1511622728903	67.0409459580126	77.7506059538011	66.0941685835723	49.4380152599041	81.5294582118345	76.0858105709932	48.4015092327885	57.4067591090691	77.3431680011573
SNPH	81.2675705035907	60.1467216722523	102.509848037986	80.225665329755	71.6124002206062	64.4729908635979	30.772642151573	74.9647485895829	67.4723225818242	71.4766473553969	59.4424597866957	92.9987337294882
DOHH	23.4813747730465	29.7716214297436	56.1832820977425	38.8837486556473	44.246232993446	38.1600294086285	30.2681726081046	40.4470818661309	33.7361612909121	26.1705834805193	46.4139754498857	41.1250681818842
CDK19	26.5999948600918	20.5182796340125	30.9500887345459	36.4255806371868	38.6195444046841	34.7929679902201	53.9782411511198	22.8706012646185	25.8404639675071	43.8990432576453	52.1139373472401	49.5370139463605
LOC107055168	0.733792961657704	1.6092768340402	1.97134323149974	1.78775855888034	2.55758572216451	1.62117771997442	2.52234771734205	2.54117791829094	2.15337199729226	3.65825360480378	2.03570067762656	1.6356561208704
NCBP3	23.2979265326321	40.83539966377	34.3013722280954	40.8949770343877	30.4352700937577	32.2988484210287	38.8441548470675	38.3294336008884	36.2484286210864	22.5123298757156	30.5355101643985	31.0774662965375
MRPS7	48.0634389885796	37.6168459956896	49.2835807874934	45.3643734315885	44.5019915656625	41.1529728916582	46.4111979990937	40.2353170396066	42.7085446129632	31.7986659494482	40.306873417006	45.097375903998
UBB	591.070230615281	783.11433936481	569.126790933974	432.861041068901	558.065204576296	550.826306855923	327.905203254466	732.28277012084	497.07003604163	484.859304698224	486.939602088274	643.280185822314
LOC121108947	25.4993054176052	14.8858107148718	6.30829834079915	9.16226261426172	7.67275716649353	4.86353315992325	17.6564340213943	14.4000082036487	22.9693013044508	9.00493195028622	19.1355863696897	4.90696836261119
CCDC177	0	0.201159604255025	0.591402969449921	0.446939639720084	0	0.374117935378711	0	0.423529653048491	1.43558133152817	0	0	0
EOGT	13.0248250694243	16.696247153167	13.7994026204982	13.4081891916025	13.8109628996883	12.3458918674975	21.6921903691416	11.4353006323092	13.2791273166356	13.5073979254293	10.1785033881328	10.9822625258441
RPL15	428.351641367685	566.666605186404	411.222198090845	393.977292413254	319.95397384278	322.24024833953	477.228188121115	594.635632880081	474.10073473718	373.141867689985	493.453844256679	421.999279184562
TOE1	17.6110310797849	24.1391525106029	19.5162979918474	14.3020684710427	18.4146171995845	15.7129532859059	8.07151269549455	29.4353108868701	20.0981386413944	9.00493195028622	6.10710203287969	20.0952037706934
EGLN3	5.68689545284721	4.42551129361054	5.91402969449921	3.57551711776067	5.11517144432902	4.24000326762539	2.01787817387364	8.25882823444557	6.10122065899474	5.62808246892889	7.32852243945563	2.80398192149211
FAM13A	13.2082733098387	11.0637782340263	6.89970131024908	6.25715495608117	10.230342888658	10.2258902336848	10.0893908693682	13.1294192445032	11.4846506522254	11.8189731847507	13.02848433681	6.30895932335724
NEDD4	19.9958582051724	29.7716214297436	11.6309250658484	12.7377797320224	14.8339971885542	16.3364831782037	17.6564340213943	30.4941350194913	27.6349406319174	15.195822666108	11.3999237947088	11.2159276859684
SLITRK6	1.46758592331541	1.20695762553015	1.97134323149974	2.45816801846046	2.55758572216451	2.86823750457012	0	6.77647444877585	2.5122673301743	0.844212370339333	2.03570067762656	4.20597288223816
