"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CABP7",7.4033042374683,1.29920621722183,0.417154038349203,3.11445197165814,0.00184286956459131,0.0186117042866603
"MSI2",90.579103796518,1.71099874581678,0.359001023287503,4.76599963462094,1.87919598959539e-06,9.59081872610808e-05
"NAA50",2341.45770742917,1.3424476940157,0.257507837048326,5.2132304375799,1.85580128090106e-07,1.36839727577607e-05
"HSPB9",944.836408508123,2.21379558313691,0.588040470913674,3.7646993576772,0.000166749587126114,0.00323774359881867
"ATP13A3",4.72680639243495,2.60612020688047,0.493718435194456,5.2785555918203,1.30206165256706e-07,1.00964380659377e-05
"HHEX",3.989193330896,2.35617079908204,0.535401543296898,4.40075458986018,1.07875075685346e-05,0.000382908363737417
"EFCAB14",8.21096440243491,1.91366298991114,0.435720966757315,4.39194607538132,1.1234056570635e-05,0.000394027598230486
"SRGAP1",3.9526748467608,1.56284231147806,0.581656299255386,2.68688280945078,0.0072122251823778,0.0485239801527064
"NR4A3",19.2549291329657,4.5879566444127,0.76538245408815,5.99433214062718,2.04323391286806e-09,3.06970354984516e-07
"LOC107055181",22.5560771116223,-1.74646559566343,0.541135770347031,-3.22740741116305,0.00124917460809679,0.0141859887154342
"LOC121108140",3.4306880058589,-2.33040203779514,0.745217636472691,-3.12714289590023,0.00176514111215723,0.0179790093449303
"PLA2G15",345.01021073095,-1.01584971048481,0.287086597880086,-3.53847834759993,0.000402440285394786,0.00619325197203576
"PLBD1",164.717533241265,1.716443462086,0.307904877679647,5.57459003254843,2.48113463869208e-08,2.40489977600323e-06
"USP28",127.797665667482,1.70264446092006,0.341753694678546,4.98208062540939,6.29042133157291e-07,3.95835465885732e-05
"OSBP2",21.6887936467742,1.03809408049533,0.307038281101811,3.38099235303858,0.000722245528473948,0.00940298828979686
"SMCR8",60.4687687876537,1.08248136147435,0.294194897435594,3.67947021144828,0.000233718986575879,0.00418882589925007
"ARHGAP19",5.1619288735481,-1.72151960162062,0.441023065608246,-3.90346840305586,9.48239345790132e-05,0.00214227231147586
"TMEM158",9.47145378991527,-1.77019916288242,0.55772272677381,-3.17397709991535,0.00150365553698541,0.0161649694982358
"SLC5A12",6.64246957029101,1.13988533826221,0.368211891507905,3.09573200798634,0.00196327714598357,0.0193354325571071
"MAP3K8",4.84251966162752,1.45084103588776,0.483727235211906,2.99929573998906,0.00270604500896539,0.0245677998450377
"CORIN",6.64926085784582,1.49255071558292,0.400861358954897,3.72335891759238,0.000196589736173907,0.00365361558708795
"C4H4orf54",46.8983247298174,1.51761406239324,0.450585511424078,3.36809334502748,0.000756899648694948,0.00972960093867869
"ATP8A1",46.9923877850041,1.16546690143058,0.335592352425641,3.47286489994978,0.000514934490410382,0.00741197322184716
"PCASP1",4.6286221882804,2.08279236391481,0.600172878730403,3.47032069879718,0.000519837284850985,0.00745575695301192
"MYLK4",223.745906518256,-1.15990986224876,0.388696139917465,-2.98410440220746,0.00284409710156438,0.0254145673555368
"DELE",20.2755286822103,1.07460874814789,0.358676676782446,2.99603742788019,0.00273512860450523,0.0247355234744533
"UBR7",32.5115735867009,1.97014340584314,0.289979631159569,6.79407514922668,1.09009555073362e-11,3.19557522543107e-09
"LOC101751709",62.1708316294696,3.42670400325065,0.509261078665761,6.72877654861911,1.71095563989027e-11,4.47042952953068e-09
"DMGDH",12.457402866259,1.08114935995732,0.265713353964359,4.06885594505099,4.72445444829524e-05,0.00128178821702168
"KIAA0408",12.7978913759348,-1.36795579007277,0.484367296175476,-2.82421171056353,0.00473970658166995,0.0362613197995488
"TAPBPL",7.85312930354264,-1.42286500761937,0.420872718305919,-3.38074896692434,0.000722885529559222,0.00940298828979686
"MAFA",451.983895590354,1.25010415998468,0.435156271590987,2.87277063803801,0.00406889402602866,0.0327323277458634
"STT3A",134.142980172699,-1.02474911884528,0.255567029364897,-4.00970783043437,6.07939240093119e-05,0.00153827825824825
"DKK3",357.279703557013,1.08236085164486,0.353706513330473,3.06005349308791,0.00221297461894549,0.0210925788620982
"LOC107050595",64.2591870715509,1.18089722297567,0.387346985436421,3.04868055613021,0.00229848745001326,0.0217011159950584
"ING2",8.51505855440241,2.13812543304969,0.439953281863462,4.85989199578979,1.17449809475032e-06,6.44579570812972e-05
"BLCAP",86.9268785525179,1.16628871137384,0.303663017270536,3.84073346124589,0.000122667248398722,0.00261871697780505
"JUN",26.07761026578,2.78242584558091,0.483939350329171,5.74953420028424,8.94896503751881e-09,1.09674425676674e-06
"LOC121106461",44.0064966885079,3.67016943075739,0.51613174905565,7.1109158416869,1.15275419710551e-12,5.54198107800443e-10
"LOC121108905",144.3152641114,1.06700543847019,0.313478227409159,3.40376251100053,0.00066464513382139,0.00889407360683267
"MTERF4",2.81780348350889,2.72985052072076,0.708354492936914,3.85379149555825,0.000116302649013042,0.00250061098119455
"PRRT1B",6.0262868137581,1.27483933577956,0.437898334865251,2.91126783154325,0.00359965312350324,0.0299199383757852
"PHPT1L",2354.05431982745,1.035888571694,0.351085448934933,2.95053120212335,0.00317228001002368,0.0274102325237057
"FAAH2",2.68141798103117,3.31427564053895,0.744141930665024,4.45382191751653,8.43550746990323e-06,0.000318825044908072
"CDK12",34.4375121992778,1.09919214904923,0.319942029971093,3.43559784611149,0.000591247915138556,0.0081677404341336
"SH3YL1",3.22951493879449,1.75044165578524,0.596739977909383,2.93334068536473,0.0033533570383334,0.0285399696753813
"ABHD8",5.91888249949202,1.96303023868893,0.529055805784754,3.71044078379813,0.000206898690061401,0.00381224909745365
"PDSS1",26.9775449655415,1.774432288973,0.469222708696771,3.78164197104046,0.000155797327912363,0.00304972000680569
"FZD2",12.1498789389417,1.78777744290052,0.515139645786284,3.47047146831758,0.000519545536457639,0.00745575695301192
"LOC121110427",0.852877617238937,2.97096863250806,1.03712935996161,2.86460758628802,0.0041752629509545,0.033123752744239
"DHX33",17.3822709419949,1.09846132798046,0.292229434001839,3.75890037132107,0.000170661773447205,0.00328715361388133
"LOC112529954",557.721115262876,-1.21801459665446,0.424628461213724,-2.8684243000881,0.00412521901837978,0.0329013315407755
"TFRC",2.68581309043921,2.10809831354683,0.675012102869321,3.1230526157765,0.00178985747538406,0.0181845283149966
"HIST1H110",31.5141195645386,-1.44113958139026,0.283208766373484,-5.0886121917912,3.60693369230453e-07,2.46316682089819e-05
"CPM",8.92722335908378,-1.23808261149859,0.452451255573711,-2.73638893968521,0.00621175588880994,0.0438397498694108
"LOC421419",4.85631095577425,3.54250239475762,0.648084229834929,5.46611417417134,4.60008104411499e-08,4.12599806486702e-06
"C10orf88",20.9404026840475,1.37781330837813,0.30134267578831,4.57224754102213,4.82520416583861e-06,0.000205652939252533
"MRPL24",15.3345816437843,1.5272810752091,0.405009247516401,3.77097827907559,0.000162608827988723,0.00316245227119169
"MAFB",17.8365596408951,1.64833096567246,0.407690179054681,4.04309706330056,5.27497705281208e-05,0.00138691620858967
"MAP4K4",21.392966117955,1.07536177874369,0.334958519653744,3.21043268239697,0.00132535307801194,0.0147873836848413
"PGD",42.3678295721653,-1.14661107327723,0.318133306358955,-3.60418431631766,0.000313134788248121,0.00519829698888698
"GAP43",27.8782560789609,1.48192209196214,0.438432806117898,3.3800438089563,0.000724742768305054,0.00940678545600264
"ADNP",46.2821015638222,1.0999871206038,0.27780458640036,3.95957149180593,7.50843653884078e-05,0.00182679957004711
"TLE3",4.20938535735867,1.72372145138093,0.625121724294754,2.7574172907294,0.00582599499422723,0.0417846226640637
