,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000031,17627,18049,23958,25341,25361,25389,28516,19984,33970,13285,27873,27079
EP10_000032,80,94,163,189,225,300,262,165,183,108,235,348
EP10_000033,219,208,319,404,386,699,529,318,495,205,389,650
EP10_000034,368,245,339,564,407,675,595,349,577,271,502,684
EP10_000035,486,303,541,696,655,804,869,424,872,375,712,768
EP10_000036,376,340,518,513,628,581,893,394,779,357,631,793
EP10_000037,327,475,488,426,519,474,501,424,680,386,526,524
EP10_000038,1410,1878,1769,1813,1883,1538,1620,1696,3257,1986,1908,2228
EP10_000039,26,22,33,50,50,24,53,23,47,29,28,34
EP10_000040,44,44,70,75,68,44,74,38,88,57,53,59
EP10_000041,1057,980,949,1151,1317,1031,1118,817,1278,1056,1174,1495
EP10_000042,390,464,534,737,617,654,715,435,761,607,509,886
EP10_000043,112,164,126,160,138,156,219,174,162,124,147,205
EP10_000044,3214,2486,4107,4383,4188,4330,3097,2481,3942,1784,3005,3233
EP10_000045,12,10,8,20,12,21,13,9,13,14,7,25
EP10_000046,2319,3328,6510,7021,4603,3789,3260,2972,6451,4186,2979,4894
EP10_000047,2120,2965,6363,6086,3941,3103,2976,2591,6173,3531,2461,3899
EP10_000048,394,505,1590,1374,881,1028,732,728,1706,1249,628,1201
EP10_000049,430,507,1449,1436,836,962,766,717,1471,1198,636,1221
EP10_000050,734,878,1766,1562,1321,1208,1104,862,1776,972,905,1178
EP10_000051,2488,2162,4446,4254,3379,3003,2703,2100,4269,2174,2416,2543
EP10_000052,773,979,2388,1922,1798,1698,1589,1052,2440,1277,1152,1623
EP10_000053,1270,1258,3215,2894,2480,2379,2239,1398,3150,1700,1818,2017
EP10_000054,65,102,171,197,129,200,153,122,216,131,126,238
EP10_000055,1199,735,1157,1526,1655,921,1746,676,1506,753,1363,1430
EP10_000056,802,597,605,735,1204,615,1201,624,1144,584,1335,1214
EP10_000057,30,39,27,36,35,32,37,25,25,19,52,72
EP10_000058,22,38,39,33,28,21,35,27,47,26,34,36
EP10_000059,9,11,4,9,6,3,9,10,7,8,7,16
EP10_000060,8,4,1,6,2,2,1,3,2,3,6,1
EP10_000061,9,8,6,7,6,4,5,7,6,8,6,16
EP10_000062,6,1,2,2,6,4,4,3,3,3,3,0
EP10_000063,24,15,21,22,22,14,23,22,9,15,24,17
EP10_000064,18,21,22,19,30,13,22,17,15,10,22,32
EP10_000065,33,34,26,50,23,15,27,28,33,36,17,28
EP10_000066,15,23,12,17,8,9,13,9,9,10,6,17
EP10_000067,3,4,4,2,4,0,0,4,3,0,2,6
EP10_000068,17,22,13,25,16,4,8,12,11,10,12,11
EP10_000069,10,15,4,10,4,2,5,3,6,2,6,2
EP10_000070,21,13,20,13,17,8,14,12,22,18,12,17
EP10_000071,17,20,17,26,9,10,9,14,15,13,11,14
EP10_000072,4,6,2,4,7,1,2,7,5,1,2,3
EP10_000073,26,19,40,27,31,15,23,25,19,20,25,24
EP10_000074,16,10,12,12,10,4,10,8,17,14,10,15
EP10_000075,992,1130,1641,1700,1699,1082,1337,1140,3333,1377,1777,1595
EP10_000076,11,8,5,15,8,5,12,12,5,4,9,16
EP10_000077,7,7,4,9,4,2,4,8,3,6,10,2
EP10_000078,24,26,34,36,21,10,17,25,21,23,20,38
EP10_000079,904,890,2112,1897,1390,1254,1329,1234,4098,1629,1329,1418
EP10_000080,762,820,1826,1661,1241,1177,1224,1118,3769,1533,953,1441
EP10_000081,1538,1485,3097,3072,2040,2209,1906,1779,6134,2396,1640,2489
EP10_000082,328,291,513,599,348,594,417,418,470,306,378,532
EP10_000083,205,220,395,494,236,459,281,333,369,284,283,441
